"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"M414.1865T3061.6",414.186547834526,3061.631,252452.207454546,352227.449454546,183836.884046053,125159.006437499,95257.9694117657,276920.271772728,784648.344380953,192081.84,258999.619047619,212392.869360352,169402.106222221,640714.522826086
"M416.1T2687.6",416.100006103516,2687.607,439237.663333332,508248.313677421,418352.632558826,225538.360385237,246859.246614583,263207.048766667,470797.966344828,408736.973156251,322456.686766664,195945.303000001,274479.14109753,239773.255592591
"M423.1499T3256.2",423.149886763171,3256.161,236249.54685,255168.615619048,212710.776210526,180690.966857143,191746.741263157,152861.1861,28460.8862561678,16922.3355006168,34168.3646065848,26264.8861083984,49600.3713867188,39868.0231445313
"M426.1T3017.5",426.100006103516,3017.5275,792979.175894747,843517.439699999,588996.111157893,282697.26285,231450.980000001,120684.850124999,821819.407949999,919600.63242105,386864.379157894,295901.813368425,318466.789473683,237842.66595
"M429.2T3887.3",429.200012207031,3887.292,580907.655000002,238723.331368424,574589.749999994,488037.314666672,1374609.07978949,1573595.45733333,775416.810000001,3609938.72711109,767394.620000002,1220814.245,1236769.33466668,1448950.76222222
"M430.1T2686",430.100006103516,2686.001,1911680.01791999,2124743.95496298,2487771.1712,3076213.27122579,2957369.11062068,3015873.97428571,2006604.23167999,1906550.55881483,2222892.7003871,2633887.04441379,2700539.93057143,3080688.13896297
"M430.2T3886.1",430.200012207031,3886.102,31415.3200683594,66485.3358,193756.39,152015.414171007,443495.87535,536046.680333331,246396.73,1173060.44633333,263236.130000001,396414.500000001,422852.6199,479482.659263157
"M431.1024T2686.7",431.102372495927,2686.658,559442.450769229,796036.924965517,718791.792,910517.598374995,844283.422965514,847285.748964285,589107.861692306,533617.455461542,603054.767172414,757021.325666668,838407.270972977,922359.397206902
"M436.1959T3621",436.19586304041,3620.9655,375812.224083335,703821.217388888,258360.7254,28347.6710526316,93147.2323157892,179091.58552381,383207.74155,292975.825000002,292767.7161,80397.4558888885,136055.395047619,125526.432533334
"M438.1665T3457.4",438.166484091307,3457.413,3472534.68000002,3562086.93818183,2785907.04254546,2003832.92869563,2084213.72800001,1943269.08092309,3299908.92000002,3440934.41709092,2944405.6389091,2185618.27826088,1841180.79533333,1891047.58527999
"M438.3T4057.2",438.300018310547,4057.178,1688005.87,886542.592722218,972109.140000002,509452.014444442,466565.583684209,477464.549999998,167854.075,62114.7805350167,53916.3271771599,47849.2063419118,30408.1431070964,47910.207546658
"M439.1625T3457.4",439.162470670454,3457.413,865853.723428572,875625.286095239,662970.166857144,505118.47133333,516781.091200003,523444.559392857,812861.000000006,839774.953500002,727318.884818184,529271.425565219,474139.061120003,460491.044959998
"M439.2884T4056.3",439.288448866436,4056.2775,543352.35,290968.55561111,320746.750000001,172128.239444444,159371.110105263,162830.904499999,14367.1407470703,25746.2865339007,17714.3268612132,20784.9940592448,18524.748046875,24675.7139185855
"M440.1772T3474.1",440.177192482946,3474.109,432281.500961542,476358.757074076,346995.081333335,258854.960017278,257958.53325,267386.753662109,452757.012639998,464760.712730768,369651.740192306,277043.008791668,269703.641440002,254998.71052174
"M444.0977T2686.3",444.097716842693,2686.2835,348573.720782606,304396.915500002,238158.742719999,250968.947478262,214580.687384614,225079.871739131,352281.102782606,238866.837045455,116900.377904762,223410.559680001,176842.748952379,215947.035458334
"M447.2T3868.6",447.200012207031,3868.6155,1440194.37714286,4874466.86613332,3731989.11171428,2248041.6662069,1764225.35485713,1860855.21314286,1142399.91999999,4602424.45356524,4399067.99006897,2130744.37075862,2138575.29599999,2555248.61007408
"M452.1033T3077.3",452.103343241631,3077.281,2293581.68990476,1954888.43580953,1448580.318,824219.305318184,774503.242434786,724081.557333334,2491178.83733334,2724873.81527273,1266409.54514286,986976.639999993,867737.561318173,692466.389333334
"M454.1134T3291.8",454.113379444055,3291.7545,12268923.9199999,10171632.072421,8239735.84505274,4480131.32631578,3948637.64126315,3703141.2176842,12986144.6399999,11904316.7595789,6945636.2076,5104758.15915788,4460650.86147367,3685764.04210525
"M455.1242T3290.2",455.124164550278,3290.1745,2991215.79999997,2443696.61473684,1960040.24084213,1085377.07210526,949750.90842105,919907.362105261,3152523.47999997,2907910.08252631,1680693.702,1220496.1928421,1137137.70631579,968337.788315787
"M456.1525T3290.6",456.152540320498,3290.5775,525963.634999994,461602.34685,358023.964105268,206175.170777777,204643.472526315,173109.45961111,584342.9403,527278.6035,328865.864736841,243418.173473684,248845.955000001,226419.504999998
"M458.2T3044.2",458.200012207031,3044.237,347732.419047619,588548.105454547,270001.607727273,237943.184761905,263382.182608697,309530.794590906,1742958.73527273,292667.214000001,470208.722285715,311438.474181815,341058.368863637,1255857.24327273
"M458.2495T2946",458.249458852124,2945.977,35049.7337239583,1203598.61638095,71857.1374897204,25214.7369249132,15313.3532714844,52563.1752415707,550533.033142858,217481.432380953,144399.42,86053.8469880757,86757.5522105261,142886.954117646
"M462.1987T3287.9",462.198702845658,3287.932,18023.2788722826,10291.1660000001,566169.970434785,743806.708479996,914624.248333338,949825.104999992,12826.7287703804,896643.627743588,904380.338181814,828449.181303031,803904.302400005,819482.187909082
"M463.1817T3044.9",463.181722575075,3044.927,224751.8592,291709.31936842,183235.413754112,124567.251657586,161527.160058594,207171.526095238,708094.49145,96589.7343529405,253796.152380953,136165.331208882,213874.512954546,513779.920956524
"M464.2T3466.7",464.200012207031,3466.709,9624482.18209525,9579511.7104762,8022734.95439999,6292707.26654547,5782601.98539133,5812679.36909092,8298241.37752382,8508758.77180953,8752916.3824762,6446999.26509093,5184218.6629091,4972837.12254547
"M465.1983T3467.2",465.19826594189,3467.1615,2655185.84685715,2583915.22945455,2123612.1108,1673537.35163637,1500152.90763637,1540065.50836364,2225149.45219048,2315741.41561905,2326307.97409524,1657923.072,1367031.61418182,1327832.63272728
"M466.2T3678.3",466.200012207031,3678.284,3738130.26573915,3551395.16872728,3135583.8984,2367438.19709092,2793018.19600001,66593.8799999997,1963051.96034782,3910388.16000002,3098663.598,2508631.18628572,2447538.83054546,2389184.80545455
"M467.2T3678.3",467.200012207031,3678.284,986922.615913047,1099746.42296297,860519.056499999,662154.177545456,740599.629714286,685996.876190477,533336.667272725,1042023.17008696,857864.64152381,682214.386285715,64334.5806250005,701362.548727275
"M468.2T3130.3",468.200012207031,3130.335,254514.739722221,156270.331058825,341179.963428572,248560.635986328,301389.02565,293268.006947368,264905.970833336,296463.629473683,352944.19863636,252340.912224265,258240.22425,879724.129777774
"M478.2055T3616.3",478.205492588189,3616.2605,1369781.95560002,1224491.9976,1694280.04571429,1268675.59619048,1376508.97890909,1760947.01714286,1870118.0952381,972088.795000004,1865883.6252,1180443.34995,1489173.18654546,1450420.6992
"M479.2268T3616.3",479.226779235866,3616.2605,454970.088750006,428987.876571429,570663.015619048,403231.890285715,451095.017818183,554518.123200008,620010.65904762,345749.190000002,627057.639619048,393566.1456,489646.10809091,508116.563809524
"M480.1633T3319.8",480.163308406713,3319.836,42230618.1982608,40615554.4820871,34709483.6869562,24831778.5933914,24423707.2465455,22059398.9585455,43470430.4373333,45089228.949333,35235910.0215649,24908899.6507827,25487175.2378182,20970591.2232728
"M481.1632T3319.8",481.163176430925,3319.824,10921240.1864348,10828009.3066667,8944328.68945457,6564554.42086959,6360075.4298182,5756178.25018183,11197391.888,11492653.3706666,9045799.24591297,6573155.42191307,6630787.52690911,5581303.96945456
"M482.2T3597.7",482.200012207031,3597.674,7209760.65828562,7566667.90400002,7111090.85636356,4489166.0109091,4661342.12266667,3662907.56981814,4724676.26189473,7207719.96038096,6482971.73333334,5271047.57028572,4629567.32952381,4094547.07272728
"M483.2T3597.4",483.200012207031,3597.355,1910356.15085712,2037483.18072728,1856083.60228572,1183593.90218182,1225570.54780952,993675.71340908,1335002.5068,1926872.19345455,1750445.47781819,1396114.72945455,1237338.98971429,1124263.34545455
"M484.1939T3599.4",484.193900760976,3599.3505,369011.076571424,386938.141272728,361278.646857143,236337.870500001,241059.338363637,186950.491950003,285351.852190476,362164.409904762,324952.972190476,261192.47859091,234621.99885,220221.96859091
"M486.156T3467.3",486.156012418208,3467.284,300614.063217392,317441.045956525,333286.343619048,271452.663391305,187876.377833332,190974.995333334,281818.935391305,252367.699909092,311629.398636364,260242.879826088,176497.753760001,114901.56568421
"M486.2T2797.1",486.200012207031,2797.149,252488.136666665,45156.51,214907.560777777,309458.405000001,109864.000105265,85280.0825555565,266156.361444443,75710.4472777774,202150.133666666,321050.517578947,152254.217142857,103425.613388888
"M491.2T3398.9",491.200012207031,3398.9395,432037.001363632,332159.07255,386966.75145,334951.452952381,294816.23565,373577.607619048,7428.20484619141,9202.83286132812,33500.40703125,40074.2493318257,7483.45240542763,2731.73352693257
"M492.2T3640.9",492.200012207031,3640.938,606211.91457143,598203.047619048,530440.60952381,334754.268952377,407576.761818177,418373.733,205483.033333333,554774.054095239,485690.796190477,388397.11575,374965.720380953,417547.087227274
"M493.2T3665",493.200012207031,3665.044,668974.061625002,669101.855739133,485466.241600003,228960.00975,270604.115227273,118918.315058823,75939.1607299805,175815.577052631,136892.551691229,44551.7387977013,39348.4979882812,25639.036328125
"M494.1956T3429.6",494.195584873933,3429.612,1529021.07428572,1125753.18218182,717880.643954547,357985.297851562,413482.328380953,499798.0815,1526066.44419048,1664767.01495652,677867.961916662,208441.611545139,516888.836818176,405339.695000002
"M494.1961T3127.5",494.196054026491,3127.519,484938.065789472,347268.080842104,423997.450315795,375367.34205,400462.88025,439382.290285715,512972.532947367,396541.13255551,385146.108000004,377995.116166665,323536.972039474,506474.703913039
"M496.2T3384.4",496.200012207031,3384.3895,29480297.5207619,30735807.4298179,29850978.4015238,9642980.33178945,7713099.75663168,5670430.29473683,31551042.5112381,27912140.1173334,29330262.4060953,26793724.4887273,7456648.72079999,7534107.48599999
"M497.2T3397.7",497.200012207031,3397.707,8063598.67733334,8286158.88618173,8014609.40800001,7258384.37818174,2123570.98105266,1572471.63536842,8397284.08380953,7664673.53600001,8015786.25219048,7276387.61527275,2071029.7908,2044513.278
"M498.2T3369.3",498.200012207031,3369.317,193760.828526315,643532.4792,851085.537899999,721769.02455,610146.043136365,454487.839272728,272313.8196,656610.76635,708213.42765,641035.794285715,588030.240000006,528592.400761898
"M499.2T3414.2",499.200012207031,3414.215,230905.2426,216300.192500001,190009.779999998,236429.694346153,149785.807473684,166025.798095238,251453.418666667,225829.200727273,192221.801863637,204131.600041665,178856.842666664,37915.9504394531
"M502.1056T3168.2",502.105570924975,3168.1905,16972821.72,15739987.3076362,12729848.4906667,8332544.13890911,8505189.92436366,7657925.46133334,16450453.9296,17052646.1410907,12650641.8385455,8848866.46218184,8794519.07657144,7132401.93219048
"M503.1081T3168.3",503.108052469203,3168.2855,4810844.094,4456402.12254541,3582621.2556,2355995.24945455,2417541.78181819,2180178.98057143,4778155.4184,4937143.63927267,3627364.32218183,2493545.04533334,2494471.49714286,2035940.44952381
"M504.1387T3261.2",504.138711314641,3261.2185,5356955.06799997,4880156.91284209,3711291.46357894,2088344.3976,1771182.39242105,1663514.01347368,5937698.26610525,6314197.662,3232523.1612,2281405.3128421,1958691.40000001,1564183.67410526
"M505.1605T3261.3",505.160541325857,3261.286,1490180.44294736,1430487.09052631,1069985.81473684,591917.2983,515065.7337,474590.633789472,1665003.84336842,1773914.6436,916982.452499999,636337.333999998,552504.470000002,448829.22495
"M505.3601T3723.8",505.360149175052,3723.753,98120.0163125008,1429718.26999998,121434.740470587,126013.758352942,993.700942095588,7059.02764892578,20468.3245171441,623460.94705263,206049.975222221,81071.9469444454,147567.693176472,171960.790388888
"M506.1921T3395.1",506.192142531474,3395.086,4958426.50300003,4287224.27636365,4287024.03,2358940.3429565,2029890.83647999,1957167.72088888,5639064.18688004,5791283.31054547,3723910.6072381,2558315.8038261,2439061.41599999,1903921.42103703
"M507.2T3395",507.200012207031,3394.9915,1492306.70766667,1282636.74545455,1250595.3636,721120.280333337,640276.426962962,599263.949107142,1603957.09500001,1717794.26618182,1075706.01295238,748842.650347829,699999.471346151,446090.856521735
"M508.2T3528.1",508.200012207031,3528.0855,40421850.4236523,37407862.5840002,31180104.285091,20421455.6827827,20618865.558261,18146962.5163637,43677357.5372798,45173155.9910401,31509861.220174,21518577.842087,21911294.2914783,17120652.8058182
"M509.2T3528.2",509.200012207031,3528.1765,11501353.7446957,10457527.3306667,8806212.06109093,5722394.97808698,5919454.30330437,5185408.02836365,12222713.1903999,12705948.54144,8890655.71617395,6101089.4170435,6293691.74608698,4981963.93745456
"M510.2T3759.1",510.200012207031,3759.1,1800050.55026088,8684160.76,6453425.43238096,1874392.24486957,2452518.25371429,2067843.2989091,2384322.97727999,13562012.168348,4418648.47930431,2924411.77963633,2717762.66181819,2239913.18109089
"M510.2T3527.8",510.200012207031,3527.7695,3214977.52055173,1741849.01894739,1484323.36523438,1053566.63161905,1168207.26909091,1113472.82504348,3173146.62514289,77743.1477647067,1523992.11458333,1178809.77066667,1244176.42254546,1030136.02440909
"M511.2T3760.1",511.200012207031,3760.0775,540843.340166663,2459948.84533333,1873350.748,526870.116909092,727804.020727265,589466.733772729,703755.379038459,3944795.242087,1254268.83339129,837436.404000003,755977.897409093,675114.418695646
"M512.2595T2924.8",512.259515327807,2924.7535,321916.964571429,2744626.00533334,237653.668571426,592109.12304762,81483.1903268914,174057.133714286,269403.422476191,491984.355000003,128841.438623047,82291.0048339844,278263.002772728,181050.207159745
"M515.2575T3423.1",515.257472008647,3423.084,47380.2805047286,77974.5758750007,72152.7599999994,185065.980947368,72267.418588236,56627.96,24767.7162841797,61037.2573125005,59860.8962402344,164627.768315789,83377.2658947366,46878.9529322574
"M518.1944T3418.4",518.19444750773,3418.397,901301.459809525,1211914.85008695,1259788.4090909,1089064.38781817,833408.718409093,551554.74536842,861712.009565221,896020.551391308,1159243.20945455,1015156.2795,715896.856380953,671744.854857143
"M519.1567T3413.8",519.156704976824,3413.769,277928.102500001,333393.221499996,354629.164190472,304954.867499997,219875.80952381,164113.1766,266616.611045455,264078.893958335,325307.042181817,297117.164190476,207378.099809524,207513.474999999
"M520.2T3245.8",520.200012207031,3245.7785,747573.961111108,719630.820000003,752952.51705263,648773.970736841,720775.2813,735121.50673684,625703.516631577,764567.27715,748703.378999999,659716.08273684,525815.37525,782454.65565
"M521.2T3228.5",521.200012207031,3228.521,316419.24711111,261307.086842109,237604.393999999,213463.87485,204511.070000001,215915.788421052,240531.96111111,234954.499111114,242881.396526315,271299.732,172363.593,240587.18368421
"M522.2T3408.8",522.200012207031,3408.766,15355128.9600001,14282159.3664,13919591.7504,16060743.8208,15307287.5032381,15197916.1112381,14903707.8400001,13781715.5200001,13786704.6521905,10886944.0032,15064828.3578182,15038666.5569524
"M523.2T3408.8",523.200012207031,3408.766,4490686.12000003,4390354.96838096,4056525.6744,4665992.322,4483000.14933334,4504684.12952381,4369192.04000003,4146010.52000003,4063380.07771429,3365962.17904762,4297290.06400001,4458849.80419048
"M524.2T3695.6",524.200012207031,3695.578,30259398.3610432,24143626.3013335,25558248.4773332,18530208.3973332,21509131.8572309,13700836.6899199,21262920.3626667,25771082.8106668,2742565.67152944,20685193.5813334,20468695.3476922,18468259.40736
"M525.2T3697.9",525.200012207031,3697.882,8969329.21043471,7119784.19733337,7592426.65333328,5497723.6643333,6413462.77846159,4142023.45087998,6306344.94780953,7645209.56800004,6654378.1086667,6222587.32500003,6040801.61723075,5435342.74080001
"M526.1T3177.4",526.100036621094,3177.397,18285754.9531429,18101290.8829091,15464033.1337143,11084285.0938182,10534823.2930909,8653660.84266667,20886730.8495238,22176009.8170436,15196914.5417143,10999952.8232728,10564970.5774546,8877836.9007273
"M526.2T3695.6",526.200012207031,3695.578,1989462.67099999,1499603.93739131,1692971.92499999,1144360.13166666,1272025.77784616,856630.934719996,1413279.15090909,1531149.69970703,1178842.20233445,348467.763000003,1098370.61476935,1105647.2784
"M527.1145T3177.4",527.114481787045,3177.413,5493533.72038096,5331955.51695239,4631745.7432381,3393948.22181819,3218986.30363637,2575172.96152381,6069048.08838096,6651031.77890911,4593730.01381819,3368800.52660871,3262003.77418183,2696804.79054546
"M527.3179T3717",527.317907768424,3716.993,103279.615250001,1883395.37852631,428401.611954547,319426.63935,42631.4852072976,109165.345187499,27166.3370028409,819568.590000002,404886.313052637,158093.541015625,250290.431999998,204578.927444443
"M528.1393T3239.7",528.139294803942,3239.706,2292681.1697778,1942208.73155555,1475902.28329413,819135.085000002,678049.888235289,660516.074999991,2531824.4329412,2619153.61999999,1268856.95555557,905672.473611107,813021.502722232,578212.900941182
"M529.1433T3242.1",529.143274368571,3242.1235,700840.025166675,604379.543789472,454402.57976471,257960.515000001,211251.850555555,196928.644999997,758088.822833342,815044.975888885,403583.522777782,309385.399894736,234562.773176473,183833.26598403
"M530.2T3353.3",530.200012207031,3353.313,20771850.8251429,17944520.216381,15174656.6112,9541865.21600001,9300900.10819048,9471327.79199999,21616404.1454546,22168870.6589091,14164274.8128,9985522.95619049,9767005.52533334,8308318.09852629
"M531.2T3353.3",531.200012207031,3353.313,6444674.21866667,5629492.0498182,4627131.4836,2924720.72533334,2830861.14133334,2927312.28647619,6551976.41600002,6749949.4258182,4340520.2808,3008564.61409524,2934544.1616,2580990.6576
"M532.2T3490",532.200012207031,3490.0385,3416165.85142857,2821638.08472728,2683680.02,1201967.39080001,862777.380807689,669078.176000001,5061891.10776473,4887450.44266665,2196042.66580645,1109154.82900001,972781.6687826,613506.000545456
"M532.1887T3353.1",532.188703491117,3353.081,1473748.99454546,1218999.43381819,960732.194699999,631348.73904762,580965.7782,595262.502095239,1425010.05018182,1402574.86181819,915863.513249999,624894.875428572,618906.426,538391.31345
"M533.2T3490.3",533.200012207031,3490.253,1058079.95428572,892119.553136366,835934.286424243,415531.059290322,278404.522541665,242518.182260871,1563205.30141177,1526934.67345454,661848.774580644,437741.71739394,316320.333041665,192140.669024068
"M534.2T3583.5",534.200012207031,3583.4615,2558524.59999997,2094532.26666667,1856769.3564,786136.614095239,670008.3033,634951.85835,2168827.07999998,2761014.18666663,1391468.01980951,853520.600099999,766481.211,556165.080315788
"M534.3T3862.6",534.299987792969,3862.588,227348.11125,1598952.50307694,1185764.36170615,1114594.89788187,1145940.85542858,1197762.00827586,122926.129411766,1097981.36774194,1153315.10518519,953893.222774196,1171077.8882963,1371976.81896297
"M535.2T3582.8",535.200012207031,3582.769,866274.449999991,663227.37495,594251.20442106,272570.886095238,210969.34455,216769.379047619,704656.2963,882645.884549999,435525.585,280536.0669,251104.05225,108871.136937501
"M536.2T3694.3",536.200012207031,3694.295,7608849.498,6678458.21634777,5219486.47854547,1914597.3888,2338714.91657143,2237706.63009524,4689884.35200006,11134563.9534544,3746025.43563637,2421430.60000001,2594298.9924,1948250.0736
"M537.2T3703.7",537.200012207031,3703.703,2370711.456,2162158.95299999,1564902.30247619,591917.2983,712216.088380953,686987.49104762,1448402.60800002,3435601.05199996,1133252.44436364,742767.780000004,814693.865142858,638223.574857143
"M544.2T3210.6",544.200012207031,3210.6045,3224455.11663157,2828155.31999997,2788004.86577781,2437816.512,2267362.15800003,2387387.5632,3111678.74947368,3239416.01347368,2669599.89726315,2259496.92000001,1798415.5008,2071922.28000001
"M545.2T3207.2",545.200012207031,3207.2295,1037062.452,938167.419999992,921066.988105261,777892.826399999,704007.223157904,749653.607999998,1004782.28263158,1073899.989,852403.357368419,725975.330000002,614618.463,660894.805000004
"M546.1939T3204.8",546.19386559764,3204.752,1015901.37705,714817.51665,613978.930947367,448313.029999997,332753.719726562,329964.915604441,931739.930999999,837420.394499999,575493.14805,442341.615238096,72266.8364999989,269868.017578125
"M546.2529T3015.1",546.252868688262,3015.084,476299.516952381,1160606.24457143,391806.49152832,256637.344824219,299616.242822266,529252.810666667,4004713.14285715,167685.011999999,995331.623619049,558458.724409092,656805.162909093,3130259.64072728
"M547.2409T3015.1",547.240860836553,3015.084,181444.138960405,410589.817826089,149409.749651228,87417.2938058036,113097.727627841,175559.730818182,1317802.58133333,99363.5293079723,328355.485090908,184693.038782609,224353.44859091,1041625.92068182
"M548.1T3182",548.100036621094,3182.0255,758915.778600001,769992.376153843,738224.254565216,641591.346079997,600716.74638462,515862.459679997,627178.409845526,642831.630647079,668067.419478263,596320.590600001,451062.4086,502825.272230773
"M550.2092T3636.4",550.209153808298,3636.393,6553123.20842104,888607.000000001,5451625.61347367,3691602.57636365,609086.194499994,3927026.77773915,3360936.6984,7089625.28000003,4257790.764,3845726.50057143,3900790.10233331,1102907.70707693
"M551.2056T3641.1",551.205609633571,3641.103,2174851.17642105,2279251.94526315,1768703.51578947,1159191.52761905,149947.616437501,1227600.424,1053232.48,2310002.60000001,1760017.8876,1299548.97676191,1203399.96690909,435906.158785716
"M554.1391T3213.4",554.139060214285,3213.393,212828.387044271,125869.783764707,457554.355000003,389644.3809,323073.464380953,203635.98885,205913.433837891,347643.216761905,159431.32473273,408094.095000002,369031.420952381,166970.182555555
"M556.2944T2911.4",556.294405533999,2911.399,297420.425000001,2346051.4133333,227810.118095238,563493.968761905,56475.5971764702,174975.49455,237945.078818182,523208.964571429,124019.990000001,63248.0052083333,239761.659428572,167908.022732205
"M557.3806T3513.1",557.380568126605,3513.126,164180.723000001,1176247.34682352,120797.525625001,228162.163764704,5553.85205078125,56760.4164705878,138021.227749999,319202.61670588,116473.876941176,70883.5449999999,90184.430117648,67218.634966682
"M558.184T3531.8",558.184022035728,3531.83,478131.776347828,376766.980571429,319508.502857143,237221.741714286,207943.335227273,196542.0705,462254.262583336,433107.430272728,338304.048863637,232198.858956523,194246.235000001,188117.94465
"M562.9888T3706.8",562.988755942879,3706.835,1268.38037109375,532369.060888886,59220.5040000006,51757.2995294114,0,0,100043.559529413,151826.498842105,80414.3950000002,0,78597.7697777774,49261.5049999999
"M564.2023T3458.7",564.202276543251,3458.735,495463.923809517,528828.542869567,403730.49585,310207.5189,373670.928521741,319110.653750002,483380.926476184,561867.1284,531539.640333331,483456.8736,364380.949730772,389258.968863637
"M565.2215T3453.9",565.221501082724,3453.945,179734.780952381,117170.520444444,145338.47145,122022.2814,92879.2588235288,54919.8183806046,164572.995157894,200163.3648,214969.35675,172161.249599999,66834.194866678,83077.8370624992
"M566.2T3574.5",566.200012207031,3574.502,721879.102818174,168837.161277777,330110.363739132,398129.634000002,864560.703590911,731744.782458337,759720.627,695894.597545456,344389.680761905,557875.850869571,627906.712272729,632278.428782603
"M568.2T3213.1",568.200012207031,3213.0895,3513594.79242104,3382320.1752,3575867.17810525,3206214.09010526,2520927.03999998,2351740.30736841,4441771.33642104,5160645.55957893,3776656.18526315,2387020.4808421,1723110.1068,2083724.6652
"M568.3T3603.9",568.299987792969,3603.94,327279.961555559,1822905.46789473,181116.053789476,118455.561157894,166357.035157894,104334.628235293,37047.4791370739,245649.788421052,228253.684999997,99104.8017777773,296017.619473683,550424.853368428
"M569.2T3215.4",569.200012207031,3215.427,1176918.66842105,1169376.02355,1238845.20073684,1084157.97810526,885024.390095227,769184.151157893,1498906.58947368,1718575.12168421,1305691.92757894,844783.484249999,590152.0347,704089.7844
"M570.2T3210.1",570.200012207031,3210.11,205973.943875002,232350.855,354455.884105262,725809.896000001,474538.592423081,154042.176499999,349524.734947368,363812.704421052,326280.823567708,301688.651249997,253018.245000001,57466.317313058
"M571.3965T3709.3",571.396531639077,3709.2825,172301.948277777,2219742.2391111,264564.815,259821.466333332,3520.20984604779,86854.0312500007,83754.0868235288,814670.817882361,304004.38,173383.324888888,242164.970000001,85536.6399999999
"M572.2T3664.5",572.200012207031,3664.498,212129.490000001,1007070.94588235,187286.9562,31602.2546772204,77638.2967058831,93593.067444444,7507.4595489502,1304439.09738888,72662.6013901654,40946.7972412109,28346.5840087891,156074.319999998
"M572.2T3396.3",572.200012207031,3396.2995,323601.381789473,322391.07511111,369754.118722226,274460.310000001,278056.718526315,328882.464666665,308131.285000001,415906.672421052,337915.324000004,314015.492444448,283351.970999999,287626.655000001
"M573.2233T3399.2",573.223263694001,3399.158,109852.840222222,100482.39,105593.061444446,90522.7300000001,106757.579578947,114065.883789473,104338.55,143399.257263158,121220.596666668,85290.8590588244,104508.92595,105759.143157894
"M576.2529T2859.9",576.252859690866,2859.882,313926.290611115,379595.198631578,41139.5508386948,55134.4933810764,67731.7941176471,49668.5878363715,588883.899611118,143282.12715,110578.974444446,97970.4001052629,365961.164999996,298524.107388887
"M579.1244T2789.9",579.124402019254,2789.892,1602404.51961113,852780.481277774,1279959.498,401807.172300006,970436.155000004,701159.27383333,1757125.88200002,876060.395000002,707584.31775,450329.132190477,659396.37735,707023.180000003
"M579.4094T3508.4",579.409432823756,3508.379,264095.935417624,1572160.40327777,187855.538823531,352386.355,72984.4504210524,45049.9428710938,198488.908447266,349901.245749997,190138.788000002,96021.4351249991,154232.777647058,247472.489722221
"M580.1112T2789.2",580.111165339538,2789.243,549471.191294123,325727.536666665,469956.824631578,144848.840128581,351453.615000002,260395.800944443,637791.543388896,322001.880000001,250390.43505,145821.791590074,171472.527722221,261686.780000001
"M580.2T3379.1",580.200012207031,3379.112,375029.31285,153382.31445,212356.598727275,112861.355932617,630636.789391307,106361.528710938,571668.41025,407624.711619048,302588.656227274,457511.909217393,541321.228960003,537119.311359997
"M580.1975T3573.7",580.197462765879,3573.686,421946.51385,133871.664999999,163241.400146484,237191.64675,539466.436045456,426974.373409092,469043.6841,421423.82055,90168.9686143663,379293.338318183,402913.197272728,400313.807772723
"M590.1802T3211.3",590.18023110951,3211.29,70909.0496470583,279821.979157894,204573.049894736,199358.9805,99510.9333753084,180332.3184,115432.179156135,262258.574842105,196557.389473684,139367.952842105,57818.3669562089,65094.4946546053
"M590.2863T3002.6",590.286301562306,3002.583,463223.63505,1450836.05333333,388183.845090905,211669.199238095,285201.616761905,558531.504761905,4560396.43428572,269910.467047619,1110252.33676191,558365.619809524,767925.730173906,3588515.89054546
"M591.2811T3002.6",591.281122377622,3002.5605,175453.071238095,523337.290666667,138598.442666667,72627.7645499999,106684.651043477,191229.356190476,1576633.18552381,98015.9483999999,404658.121590905,199088.547047619,264940.879304346,1287256.49127273
"M593.4179T3682.7",593.41785467864,3682.6845,103177.32,2446358.71422221,213074.565882355,425769.740166672,79095.2569411759,114716.447999999,0,780080.987111107,329582.871529409,154498.365,255909.58336842,336012.97936842
"M594.2T3386.7",594.200012207031,3386.6675,131760.497499999,39388.16031579,112116.1479,115931.084444444,210326.1501,35405.9950764974,203990.889473684,133577.8722,164900.069157894,218016.3144,167997.870454544,264677.632363634
"M594.3176T3608.4",594.317571763729,3608.4405,574791.939529418,486174.015529408,164187.36847059,22667.5562065972,689400.004421051,247692.55,174772.995555558,18185.8563701923,197940.019764705,55351.9423314145,573244.915894735,950598.214999994
"M596.3432T3803.1",596.343180866694,3803.139,195519.464055558,4482351.4364445,273204.871222221,161920.106833333,171784.272631578,137865.603368421,118113.781143852,620204.697722229,293010.80811111,142623.144999998,473434.137684209,511236.051111109
"M597.3378T3803.5",597.33781844637,3803.479,67248.6522352948,1671423.26444446,104149.96517647,66215.7910588231,67707.4478947367,58273.7155761719,34842.4821428571,230637.900705885,124673.3067,59829.3910555562,180230.293578947,206925.51375
